
Plan name:,SALESFORCE.COM      
Date Range,01/01/2014 - 04/19/2015,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
11/26/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.461"
11/26/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.924"
11/26/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.729"
11/14/2014,SPTN 500 INDEX INST,CONTRIBUTION,"209.69","2.891"
11/14/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"157.27","4.083"
11/14/2014,FID LOW PRICED STK K,CONTRIBUTION,"262.10","5.245"
11/14/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"209.69","5.776"
11/14/2014,FID CONTRAFUND K,CONTRIBUTION,"209.69","2.027"
10/31/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.529"
10/31/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.475"
10/31/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.545"
10/31/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","5.007"
10/31/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.767"
10/15/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.742"
10/15/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.630"
10/15/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.843"
10/15/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","5.364"
10/15/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.908"
10/03/2014,SPTN 500 INDEX INST,DIVIDEND,"9.20","0.131"
09/30/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.579"
09/30/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.538"
09/30/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.647"
09/30/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","5.020"
09/30/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.793"
09/29/2014,SPTN 500 INDEX INST,CONTRIBUTION,"139.71","1.983"
09/29/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"104.78","2.721"
09/29/2014,FID LOW PRICED STK K,CONTRIBUTION,"174.64","3.567"
09/29/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"139.71","3.853"
09/29/2014,FID CONTRAFUND K,CONTRIBUTION,"139.71","1.377"
09/15/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.565"
09/15/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.401"
09/15/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.557"
09/15/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.909"
09/15/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.791"
09/05/2014,FID LOW PRICED STK K,DIVIDEND,"86.15","1.713"
08/29/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.543"
08/29/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.325"
08/29/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.294"
08/29/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.858"
08/29/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.773"
08/15/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.607"
08/15/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.369"
08/15/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.404"
08/15/2014,FID DIVERSIFD INTL K,CONTRIBUTION,"181.25","4.908"
08/15/2014,FID CONTRAFUND K,CONTRIBUTION,"181.25","1.815"
08/01/2014,SPTN 500 INDEX INST,CONTRIBUTION,"181.25","2.652"
08/01/2014,OPP DEVELOPING MKT Y,CONTRIBUTION,"135.94","3.427"
08/01/2014,FID LOW PRICED STK K,CONTRIBUTION,"226.56","4.459"
